tile,art_index,score,wscore,confidence,cells_scored,live,informative,rank,margin,best_score_index,notes
240,240,0.8594,0.6977,low,9,False,True,28,-0.0521,244,identity ranks 28 of 256; index 244 beats identity by 0.052
241,241,0.8906,0.7751,low,9,False,True,1,0.0069,241,
242,242,0.9965,0.9954,high,9,True,True,1,0.1267,242,
243,243,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
244,244,0.9792,0.9896,high,9,False,True,1,0.0382,244,
245,245,0.9792,0.9896,high,9,False,True,1,0.0382,245,
246,246,0.6719,0.6719,unmatched,9,False,True,75,-0.0625,244,identity ranks 75 of 256; index 244 beats identity by 0.062
247,247,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
248,248,0.9358,0.8076,low,9,False,True,21,-0.0069,154,identity ranks 21 of 256
249,249,0.8038,0.6949,low,9,False,True,29,-0.0208,154,identity ranks 29 of 256
250,250,0.7049,0.6757,unmatched,9,False,True,49,-0.0417,244,identity ranks 49 of 256
251,251,0.8368,0.7064,low,9,False,True,24,-0.0278,244,identity ranks 24 of 256
252,252,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
253,253,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
254,254,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
255,255,0.8574,0.8061,low,8,False,True,1,0.0391,255,BR cell absent from tileset.bin (file is 1 byte short)
